Tabela;Qtde arquivos;Arquivos
"logistica_cargas_monitor_execucoes";"2";"assets/js/modules/ti.js | assets/js/ti-agentes.js"
"logistica_clientes_anexo_regras";"1";"assets/js/programacao-equipe.js"
"logistica_clientes_contrato_regras";"1";"assets/js/logistica.js"
"logistica_clientes_filiais_pagadoras";"1";"assets/js/logistica-clientes-filiais-pagadoras.js"
"logistica_clientes_nacionais_aliases";"1";"assets/js/logistica.js"
"logistica_fob";"5";"assets/js/adm-logistica.js | assets/js/logistica-fob-page-v9.js | assets/js/logistica-fob-page.js | assets/js/menuBuilder.js | assets/js/programacao.js"
"logistica_nhe_lancamentos_auto";"1";"assets/js/logistica-fob-page-v9.js"
"logistica_relatorios_destinatarios";"1";"assets/js/adm-logistica.js"
"logistica_relatorios_envios";"1";"assets/js/adm-logistica.js"
"metas_auditoria";"1";"assets/js/modules/metas.js"
"metas_gestores";"2";"assets/js/metasFechamentoValidacao.js | assets/js/modules/metas.js"
"metas_producao";"10";"assets/js/adm-logistica.js | assets/js/dashboard-regional-map.js | assets/js/dashboard.js | assets/js/gestor-app-dashboard-live-fix.js | assets/js/gestor-app.js | assets/js/historico.js | assets/js/metasReabrirFechamento.js | assets/js/modules/dashboard-diretoria.js | assets/js/modules/dashboard-socio.js | assets/js/modules/metas.js"
"operacional_auditoria_colaborador";"5";"assets/js/adm-conferencia.js | assets/js/admin-auditoria.js | assets/js/auditoria.js | assets/js/modules/relatorios.js | assets/js/relatorios.js"
"operacional_colaborador_base";"7";"assets/js/conferencia-deslocamento.js | assets/js/gestor-app.js | assets/js/modules/relatorios.js | assets/js/os-mobile.js | assets/js/os.js | assets/js/programacao.js | assets/js/relatorios.js"
"operacional_laudos";"4";"assets/js/adm-logistica.js | assets/js/laudoUpload.js | assets/js/logistica.js | assets/js/programacao-equipe.js"
"operacional_os";"26";"assets/js/adm-conferencia-sem-os.js | assets/js/adm-conferencia.js | assets/js/adm-logistica.js | assets/js/btg-logistica-agentes-ui.js | assets/js/btg-logistica.js | assets/js/dashboard-os-card-fix.js | assets/js/dashboard.js | assets/js/distribuir-os.js | assets/js/emails.js | assets/js/gestor-app-mobile-home-fix.js | assets/js/gestor-app.js | assets/js/laudoUpload.js | assets/js/listaOsAgentSync.js | assets/js/logistica-abertura-os-informar-colaborador.js | assets/js/logistica-abertura-os-workflow.js | assets/js/logistica-conferencia-ocr.js | assets/js/logistica.js | assets/js/modules/relatorios.js | assets/js/os-mobile.js | assets/js/os.js | assets/js/programacao-compartilhar-os.js | assets/js/programacao-despesas.js | assets/js/programacao-equipe.js | assets/js/programacao-sem-os.js | assets/js/programacao.js | assets/js/relatorios.js"
"operacional_os_colaboradores";"10";"assets/js/adm-logistica.js | assets/js/btg-logistica.js | assets/js/distribuir-os.js | assets/js/gestor-app.js | assets/js/modules/relatorios.js | assets/js/os-mobile.js | assets/js/os.js | assets/js/programacao-equipe.js | assets/js/programacao.js | assets/js/relatorios.js"
"operacional_pontos_embarque";"7";"assets/js/gestor-app.js | assets/js/listaOsAgentSync.js | assets/js/logistica.js | assets/js/modules/relatorios.js | assets/js/programacao-equipe.js | assets/js/programacao.js | assets/js/relatorios.js"
"ouro_safra_classificacao_execucoes";"1";"assets/js/ti-agentes.js"
"painel_notificacoes";"2";"assets/js/notificacoes-engine.js | assets/js/notificacoes.js"
"painel_notificacoes_usuarios";"2";"assets/js/notificacoes-engine.js | assets/js/notificacoes.js"
"patrimonios_historico_leituras";"4";"assets/js/modules/relatorios.js | assets/js/notificacoes-engine.js | assets/js/patrimoniosAgentSync.js | assets/js/relatorios.js"
"patrimonios_importacoes";"4";"assets/js/importarPatrimonios.js | assets/js/modules/relatorios.js | assets/js/patrimoniosAgentSync.js | assets/js/relatorios.js"
"patrimonios_snapshot";"10";"assets/js/dashboard.js | assets/js/gestor-app-dashboard-live-fix.js | assets/js/gestor-app.js | assets/js/historico.js | assets/js/modules/relatorios.js | assets/js/patrimonioRelatorios.js | assets/js/patrimonioStatus.js | assets/js/programacao-sem-os.js | assets/js/programacao.js | assets/js/relatorios.js"
"producao_importacoes";"4";"assets/js/historicoProducao.js | assets/js/importarProducao.js | assets/js/modules/relatorios.js | assets/js/relatorios.js"
"producao_snapshot";"13";"assets/js/adm-conferencia.js | assets/js/consultarProducao.js | assets/js/dashboard-regional-map.js | assets/js/efetivosSemProducao.js | assets/js/gestor-app-dashboard-live-fix.js | assets/js/gestor-app.js | assets/js/historico.js | assets/js/hotel-relatorio-v2.js | assets/js/logistica-fob-page-v9.js | assets/js/logistica-informativos-efetivos-fix.js | assets/js/metasFechamentoValidacao.js | assets/js/modules/relatorios.js | assets/js/relatorios.js"
"programacao_alimentacao";"5";"assets/js/logistica-abertura-os-informar-colaborador.js | assets/js/programacao-despesas.js | assets/js/programacao-equipe.js | assets/js/programacao-sem-os.js | assets/js/programacao.js"
"programacao_colaborador";"1";"assets/js/modules/programacao.api.example.js"
"programacao_colaboradores";"8";"assets/js/adm-conferencia-sem-os.js | assets/js/auditoria.js | assets/js/gestor-app.js | assets/js/programacao-compartilhar-os.js | assets/js/programacao-equipe.js | assets/js/programacao-persistencia-contexto.js | assets/js/programacao-sem-os.js | assets/js/programacao.js"
"programacao_conferencia_status";"1";"assets/js/adm-conferencia.js"
"programacao_deslocamento";"3";"assets/js/conferencia-deslocamento.js | assets/js/programacao-equipe.js | assets/js/programacao.js"
"programacao_despesas_os_compartilhadas";"3";"assets/js/programacao-compartilhar-os.js | assets/js/programacao-despesas-os-visual.js | assets/js/programacao-despesas.js"
"programacao_dia";"12";"assets/js/adm-conferencia-sem-os.js | assets/js/adm-conferencia.js | assets/js/gestor-app.js | assets/js/logistica-abertura-os-informar-colaborador.js | assets/js/mapa-operacional-programacao.js | assets/js/mapa-operacional.js | assets/js/notificacoes-engine.js | assets/js/programacao-despesas.js | assets/js/programacao-equipe.js | assets/js/programacao-persistencia-contexto.js | assets/js/programacao-sem-os.js | assets/js/programacao.js"
"programacao_dia_ultima";"1";"assets/js/programacao-equipe.js"
