"Rota";"Página HTML";"Arquivo principal";"Arquivos complementares";"Hotfixes carregados";"Tabelas Supabase";"RPCs";"Buckets";"Integrações"
"relatorio-notas-fiscais";"relatorio-notas-fiscais.html";"assets/js/relatorio-importador.js";"";"";"";"";"";""
"relatorio-producao-consolidada";"relatorio-producao-consolidada.html";"assets/js/relatorio-importador.js";"";"";"";"";"";""
"relatorio-resultado-diario";"relatorio-resultado-diario.html";"assets/js/relatorio-importador.js";"";"";"";"";"";""
"relatorio-servicos-faturados";"relatorio-servicos-faturados.html";"assets/js/relatorio-importador.js";"";"";"";"";"";""
"seguranca-trabalho";"seguranca-trabalho.html";"assets/js/segurancaTrabalho.js";"";"";"rh_cat";"";"";""
"telegrama";"telegrama.html";"assets/js/telegrama.js";"";"";"envios_destinatarios | envios_remetentes | envios_telegramas | rh_clinicas_sst";"";"";"Correios"
"termos";"termos.html";"assets/js/termos.js";"";"";"colaboradores | compras_itens | compras_notificacoes_config | envios_remetentes | financeiro_pagamentos | termos_celular | termos_veiculos";"";"notas-fiscais";"Botconversa"
"ti-agentes";"ti-agentes.html";"assets/js/ti-agentes.js";"assets/js/ti-agentes-finalizar-os.js";"";"botconversa_jobs | botconversa_logs | grm_finalizacao_os_execucoes | grm_finalizacao_os_resultados | grm_sync_jobs | logistica_cargas_irregularidades | logistica_cargas_monitor_execucoes";"";"";"Botconversa | GRM Server"
"ti-comunicacao";"ti-comunicacao.html";"assets/js/ti-comunicacao.js";"";"";"botconversa_logs | colaboradores";"";"";"Botconversa"
"ti-contatos";"ti-contatos.html";"assets/js/ti-contatos.js";"";"";"";"";"";"Botconversa"
"ti-integracoes";"ti-integracoes.html";"assets/js/ti-integracoes.js";"";"";"";"";"";""
"uber";"uber.html";"assets/js/uber.js";"assets/js/modules/uber-despesas-sync.js";"";"conferencia_uber_corridas | relatorio_resultado_diario | vw_conferencia_uber_corridas";"";"";""
